uf;municipio_cod;municipio_nome;escola_cod;escola_nome;ideb
RO;1100205;Porto Velho;11000058;CENTRO DE ENSINO CLASSE A;-
RO;1100205;Porto Velho;11000198;CENTRO EDUCACIONAL OBJETIVO;-
RO;1100205;Porto Velho;11000244;COLEGIO DOM BOSCO;-
RO;1100205;Porto Velho;11000252;CENTRO EDUCACIONAL OBJETIVO - UNIDADE JARDIM AMERICA;6,2
RO;1100205;Porto Velho;11000260;COLEGIO TIRADENTES DA POLICIA MILITAR DO ESTADO DE RONDONIA EEEFM TIRADENTES;3,7
RO;1100205;Porto Velho;11000350;COLEGIO ADVENTISTA DE PORTO VELHO;4,2
RO;1100205;Porto Velho;11000384;EEEFM 4 DE JANEIRO;-
RO;1100205;Porto Velho;11000457;EEEFM PROFESSORA ANTONIA VIEIRA FROTA;-
RO;1100205;Porto Velho;11000554;EEEFM BANDEIRANTES;3,3
RO;1100205;Porto Velho;11000597;EEEFM BELA VISTA;4
RO;1100205;Porto Velho;11000678;EEEFM BRASILIA;4,4
RO;1100205;Porto Velho;11000708;EEEFM CAP CLAUDIO MANOEL DA COSTA;-
RO;1100205;Porto Velho;11000856;EEEFM PROFESSOR DANIEL NERI DA SILVA;3,4
RO;1100205;Porto Velho;11000880;CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO;4,9
RO;1100205;Porto Velho;11000937;EEEFM DR OSVALDO PIANA;3,6
RO;1100205;Porto Velho;11001046;EEEFM ESTUDO E TRABALHO;-
RO;1100205;Porto Velho;11001119;EEEFM GOV ARAUJO LIMA;-
RO;1100205;Porto Velho;11001135;EEEFM GOV PETRONIO BARCELOS;-
RO;1100205;Porto Velho;11001283;EEEFM JOHN KENNEDY;-
RO;1100205;Porto Velho;11001305;EEEFM JORGE TEIXEIRA DE OLIVEIRA;-
RO;1100205;Porto Velho;11001496;EEEFM MARCOS DE BARROS FREIRE;2,5
RO;1100205;Porto Velho;11001550;EEEFM MARIANA;-
RO;1100205;Porto Velho;11001640;EEEFM MURILO BRAGA;4,7
RO;1100205;Porto Velho;11002018;EEEFM PROF FLORA CALHEIROS COTRIN;-
RO;1100205;Porto Velho;11002123;EEEFM RISOLETA NEVES;-
RO;1100205;Porto Velho;11002255;EEEFM SAO LUIZ;2,9
RO;1100205;Porto Velho;11002468;EEEFM BARAO DO SOLIMOES;4,6
RO;1100205;Porto Velho;11002476;EEEFM GETULIO VARGAS;-
RO;1100205;Porto Velho;11002484;EEEM MAJOR GUAPINDAIA;3,2
RO;1100205;Porto Velho;11002506;EEEFM MARECHAL CASTELO BRANCO;-
RO;1100205;Porto Velho;11002514;EEEFM PROF ORLANDO FREIRE;-
RO;1100205;Porto Velho;11002522;EEEFM PROF EDUARDO LIMA E SILVA;-
RO;1100205;Porto Velho;11002549;EEEFM RIO BRANCO;3,4
RO;1100205;Porto Velho;11003065;IEE CARMELA DUTRA;4,4
RO;1100205;Porto Velho;11003081;INSTITUTO LAURA VICUNA;5,5
RO;1100205;Porto Velho;11003413;EEEFM GENERAL OSORIO;-
RO;1100205;Porto Velho;11003812;EEEFM MARIA NAZARE DOS SANTOS;-
RO;1100338;Nova Mamoré;11003979;EEEFM CASIMIRO DE ABREU;4
RO;1100700;Campo Novo de Rondônia;11004347;EEEFM 15 DE OUTUBRO;3,8
RO;1100452;Buritis;11004428;EEEFM BURITI;-
RO;1100809;Candeias do Jamari;11005041;E E E F M CARLOS DRUMMOND DE ANDRADE;-
RO;1101104;Itapuã do Oeste;11005360;EEEFM PAULO FREIRE;3,7
RO;1101492;São Francisco do Guaporé;11005475;E E E F M CAMPOS SALES;4,1
RO;1100080;Costa Marques;11005823;EEEFM ANGELINA DOS ANJOS;3,8
RO;1100106;Guajará-Mirim;11005939;EEEFM ALKINDAR BRASIL DE AROUCA;-
RO;1100106;Guajará-Mirim;11006633;EEEFM ROCHA LEAL;-
RO;1100106;Guajará-Mirim;11006641;EEEFM SIMON BOLIVAR;3,6
RO;1100106;Guajará-Mirim;11006706;CENTRO EDUCACIONAL INOVACAO;4,9
RO;1100023;Ariquemes;11006889;EEEFM ANISIO TEIXEIRA;3,1
RO;1100023;Ariquemes;11007168;COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III;-
RO;1100023;Ariquemes;11007656;COLEGIO DINAMICO EDUCACAO BASICA;6,2
RO;1100023;Ariquemes;11007885;EEEMTI HEITOR VILLA LOBOS;4,9
RO;1100023;Ariquemes;11007893;EEEFM RICARDO CANTANHEDE;3,9
RO;1101757;Vale do Anari;11008105;EEEFM BARTOLOMEU LOURENCO DE GUSMAO;4
RO;1100940;Cujubim;11009152;EEEFM ANTONIO FRANCISCO LISBOA;-
RO;1100262;Rio Crespo;11009306;EEEFM FRANCISCO MIGNONE;-
RO;1100403;Alto Paraíso;11009888;EEEFM LAURINDO RABELO;-
RO;1100601;Cacaulândia;11010290;EEEFM FREI HENRIQUE DE COIMBRA;-
RO;1101401;Monte Negro;11010665;EEEFM AURELIO BUARQUE DE HOLANDA FERREIRA;3,9
RO;1100114;Jaru;11011491;EEEFM CAPITAO SILVIO DE FARIAS;-
RO;1100114;Jaru;11011661;EEEFM PROF DAYSE MARA DE OLIVEIRA MARTINS;-
RO;1100114;Jaru;11012099;EEEFM GOV JORGE TEIXEIRA DE OLIVEIRA;4,1
RO;1100114;Jaru;11012145;EEEFM JOSUE MONTELLO;3,6
RO;1100114;Jaru;11012277;EEEFM MARECHAL COSTA E SILVA;4,6
RO;1100114;Jaru;11012447;EEEFM OLGA DELLAIA;3,6
RO;1100114;Jaru;11012579;EEEFM PEDRO VIEIRA DE MELO;3,2
